Degree,Year,Term,Course Code,Course / Requirement,Milestone,Credits
Bachelor of Arts in Computer Science,First Year,Winter,MATH 251Z or MATH 246,Differential Calculus or Calculus for the Biological Sciences I,,4
Bachelor of Arts in Computer Science,First Year,Winter,WR 122Z or WR 123,Composition II or College Composition III,,4
Bachelor of Arts in Computer Science,First Year,Winter,Core-education course in social science,,,4
Bachelor of Arts in Computer Science,First Year,Winter,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Computer Science,First Year,Spring,CS 211,Computer Science II,,4
Bachelor of Arts in Computer Science,First Year,Spring,MATH 252Z or MATH 247,Integral Calculus or Calculus for the Biological Sciences II,,4
Bachelor of Arts in Computer Science,First Year,Spring,Core-education course in arts and letters,,,4
Bachelor of Arts in Computer Science,First Year,Spring,Core-education course in social science,,,4
Bachelor of Arts in Computer Science,First Year,Spring,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Computer Science,Second Year,Fall,CS 212,Computer Science III,,4
Bachelor of Arts in Computer Science,Second Year,Fall,MATH 231,Elements of Discrete Mathematics I,,4
Bachelor of Arts in Computer Science,Second Year,Fall,First course of additional science sequence,,,4
Bachelor of Arts in Computer Science,Second Year,Fall,Core-education course in social science that also satisfies a cultural literacy requirement,,,4
Bachelor of Arts in Computer Science,Second Year,Fall,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Computer Science,Second Year,Winter,CS 314,Computer Organization,,4
Bachelor of Arts in Computer Science,Second Year,Winter,MATH 232,Elements of Discrete Mathematics II,,4
Bachelor of Arts in Computer Science,Second Year,Winter,Second course of additional science sequence,,,4
Bachelor of Arts in Computer Science,Second Year,Winter,Core-education course in arts & letters,,,4
Bachelor of Arts in Computer Science,Second Year,Winter,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Computer Science,Second Year,Spring,CS 322or WR 320or WR 321or HC 301H,Introduction to Software Engineering or Scientific and Technical Writing or Business Communications or Research and Writing: [Topic],,4
Bachelor of Arts in Computer Science,Second Year,Spring,MATH 253Z or MATH 341or MATH 343or MATH 425or MATH 345M,Calculus: Sequences and Series or Elementary Linear Algebra or Statistical Models and Methods or Statistical Methods I or Probability and Statistics f or Data Science,,4
Bachelor of Arts in Computer Science,Second Year,Spring,Third course of additional science sequence,,,4
Bachelor of Arts in Computer Science,Second Year,Spring,Core-education course in arts & letters that also satisfies a cultural literacy requirement,,,4
Bachelor of Arts in Computer Science,Second Year,Spring,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Computer Science,Third Year,Fall,CS 313,Intermediate Data Structures,,4
Bachelor of Arts in Computer Science,Third Year,Fall,MATH 253Z or MATH 341or MATH 343or MATH 425or MATH 345M,Calculus: Sequences and Series or Elementary Linear Algebra or Statistical Models and Methods or Statistical Methods I or Probability and Statistics f or Data Science,,4
Bachelor of Arts in Computer Science,Third Year,Fall,WR 320or WR 321or HC 301H or CS 322,Scientific and Technical Writing or Business Communications or Research and Writing: [Topic]or Introduction to Software Engineering,,4
Bachelor of Arts in Computer Science,Third Year,Fall,Elective course,,,4
Bachelor of Arts in Computer Science,Third Year,Fall,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Computer Science,Third Year,Winter,CS 315,Intermediate Algorithms,,4
Bachelor of Arts in Computer Science,Third Year,Winter,CS 330,C/C++ and Unix,,4
Bachelor of Arts in Computer Science,Third Year,Winter,Upper-division mathematics elective course,,,4
Bachelor of Arts in Computer Science,Third Year,Winter,Elective course,,,4
Bachelor of Arts in Computer Science,Third Year,Winter,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Computer Science,Third Year,Spring,CS 415,Operating Systems,,4
Bachelor of Arts in Computer Science,Third Year,Spring,Upper-division elective course with CS subject code,,,4
Bachelor of Arts in Computer Science,Third Year,Spring,PHIL 223,Data Ethics,,4
Bachelor of Arts in Computer Science,Third Year,Spring,Elective course,,,4
Bachelor of Arts in Computer Science,Third Year,Spring,SUBTOTAL,Term Credits,,16
Bachelor of Arts in Computer Science,Fourth Year,Fall,CS 425,Principles of Programming Languages,,4
Bachelor of Arts in Computer Science,Fourth Year,Fall,Upper-division elective course (410-499) with CS subject code,,,4
Bachelor of Arts in Computer Science,Fourth Year,Fall,Upper-division elective course,,,4
Bachelor of Arts in Computer Science,Fourth Year,Fall,SUBTOTAL,Term Credits,,12
Bachelor of Arts in Computer Science,Fourth Year,Winter,CS 422,Software Methodology I,,4
Bachelor of Arts in Computer Science,Fourth Year,Winter,Upper-division elective course (410-499) with CS subject code,,,4
Bachelor of Arts in Computer Science,Fourth Year,Winter,Upper-division elective course,,,4
Bachelor of Arts in Computer Science,Fourth Year,Winter,SUBTOTAL,Term Credits,,12
Bachelor of Arts in Computer Science,Fourth Year,Spring,Upper-division elective course with CS subject code,,,4
Bachelor of Arts in Computer Science,Fourth Year,Spring,Upper-division elective course (410-499) with CS subject code,,,4
Bachelor of Arts in Computer Science,Fourth Year,Spring,Upper-division elective course,,,4
Bachelor of Arts in Computer Science,Fourth Year,Spring,SUBTOTAL,Term Credits,,12
Bachelor of Arts in Computer Science,,,TOTAL,Total Credits,,180
